y_bin,alpha_bin,median_log_rt,mean_log_rt,sat_prob,count
"(0.135, 0.14]",3.0,-4.089905525615088,-4.072536490351533,1.0,188
"(0.135, 0.14]",3.4,,,,0
"(0.135, 0.14]",3.8,,,,0
"(0.135, 0.14]",4.0,,,,0
"(0.135, 0.14]",4.1,,,,0
"(0.135, 0.14]",4.2,,,,0
"(0.135, 0.14]",4.26,,,,0
"(0.135, 0.14]",4.4,,,,0
"(0.135, 0.14]",4.6,,,,0
"(0.135, 0.14]",5.0,,,,0
"(0.14, 0.145]",3.0,-4.085493093138046,-4.076533581932262,1.0,12
"(0.14, 0.145]",3.4,,,,0
"(0.14, 0.145]",3.8,,,,0
"(0.14, 0.145]",4.0,,,,0
"(0.14, 0.145]",4.1,,,,0
"(0.14, 0.145]",4.2,,,,0
"(0.14, 0.145]",4.26,,,,0
"(0.14, 0.145]",4.4,,,,0
"(0.14, 0.145]",4.6,,,,0
"(0.14, 0.145]",5.0,,,,0
"(0.145, 0.15]",3.0,,,,0
"(0.145, 0.15]",3.4,,,,0
"(0.145, 0.15]",3.8,,,,0
"(0.145, 0.15]",4.0,,,,0
"(0.145, 0.15]",4.1,,,,0
"(0.145, 0.15]",4.2,,,,0
"(0.145, 0.15]",4.26,,,,0
"(0.145, 0.15]",4.4,,,,0
"(0.145, 0.15]",4.6,,,,0
"(0.145, 0.15]",5.0,,,,0
"(0.15, 0.155]",3.0,,,,0
"(0.15, 0.155]",3.4,-3.975276934493351,-3.9242905643546306,1.0,101
"(0.15, 0.155]",3.8,,,,0
"(0.15, 0.155]",4.0,,,,0
"(0.15, 0.155]",4.1,,,,0
"(0.15, 0.155]",4.2,,,,0
"(0.15, 0.155]",4.26,,,,0
"(0.15, 0.155]",4.4,,,,0
"(0.15, 0.155]",4.6,,,,0
"(0.15, 0.155]",5.0,,,,0
"(0.155, 0.16]",3.0,,,,0
"(0.155, 0.16]",3.4,-3.986172008254543,-3.9399370933505287,1.0,99
"(0.155, 0.16]",3.8,,,,0
"(0.155, 0.16]",4.0,,,,0
"(0.155, 0.16]",4.1,,,,0
"(0.155, 0.16]",4.2,,,,0
"(0.155, 0.16]",4.26,,,,0
"(0.155, 0.16]",4.4,,,,0
"(0.155, 0.16]",4.6,,,,0
"(0.155, 0.16]",5.0,,,,0
"(0.16, 0.165]",3.0,,,,0
"(0.16, 0.165]",3.4,,,,0
"(0.16, 0.165]",3.8,,,,0
"(0.16, 0.165]",4.0,,,,0
"(0.16, 0.165]",4.1,,,,0
"(0.16, 0.165]",4.2,,,,0
"(0.16, 0.165]",4.26,,,,0
"(0.16, 0.165]",4.4,,,,0
"(0.16, 0.165]",4.6,,,,0
"(0.16, 0.165]",5.0,,,,0
"(0.165, 0.17]",3.0,,,,0
"(0.165, 0.17]",3.4,,,,0
"(0.165, 0.17]",3.8,-3.640388671568018,-3.58808647079751,1.0,37
"(0.165, 0.17]",4.0,,,,0
"(0.165, 0.17]",4.1,,,,0
"(0.165, 0.17]",4.2,,,,0
"(0.165, 0.17]",4.26,,,,0
"(0.165, 0.17]",4.4,,,,0
"(0.165, 0.17]",4.6,,,,0
"(0.165, 0.17]",5.0,,,,0
"(0.17, 0.175]",3.0,,,,0
"(0.17, 0.175]",3.4,,,,0
"(0.17, 0.175]",3.8,-3.6420746983792327,-3.6094064052006836,0.9875,160
"(0.17, 0.175]",4.0,,,,0
"(0.17, 0.175]",4.1,,,,0
"(0.17, 0.175]",4.2,,,,0
"(0.17, 0.175]",4.26,,,,0
"(0.17, 0.175]",4.4,,,,0
"(0.17, 0.175]",4.6,,,,0
"(0.17, 0.175]",5.0,,,,0
"(0.175, 0.18]",3.0,,,,0
"(0.175, 0.18]",3.4,,,,0
"(0.175, 0.18]",3.8,-3.6039594059413975,-3.607890089652749,1.0,3
"(0.175, 0.18]",4.0,-3.399168928966697,-3.342631163518409,0.8888888888888888,108
"(0.175, 0.18]",4.1,-3.747019967603596,-3.706917999807324,1.0,3
